"itemid","label","category","numero_eventi"
227951,"Circulation/Skin Integrity","Restraint/Support Systems","798553"
227960,"Patient/Family Informed","Restraint/Support Systems","798509"
223935,"PostTib. Pulses R","Cardiovascular (Pulses)","797790"
227952,"Position Change","Restraint/Support Systems","794247"
227957,"Signs of Injury from Intervention","Restraint/Support Systems","791386"
223947,"PostTib. Pulses L","Cardiovascular (Pulses)","784618"
224771,"RLE Temp","Cardiovascular","784569"
227953,"Range of Motion","Restraint/Support Systems","782861"
227961,"Side  Rails","Restraint/Support Systems","781720"
224773,"LLE Temp","Cardiovascular","778134"
224767,"RUE Temp","Cardiovascular","772634"
224769,"LUE Temp","Cardiovascular","769458"
227956,"Urinal/Bedpan","Restraint/Support Systems","768538"
223979,"RLE Color","Cardiovascular","766916"
224023,"Support Systems","Restraint/Support Systems","764728"
223983,"LLE Color","Cardiovascular","760935"
228902,"Altered Respiratory Status NCP - Expected outcomes","Care Plans","757513"
223976,"RUE Color","Cardiovascular","756821"
223982,"LUE Color","Cardiovascular","753677"
227946,"Restraint Ordered (Non-violent)","Restraint/Support Systems","749284"
228298,"Daily Wake Up","Pain/Sedation","733465"
223985,"Respiratory Pattern","Pulmonary","724509"
228933,"Post-op Care NCP - Expected outcomes","Care Plans","722171"
223990,"Respiratory Effort","Pulmonary","712581"
224017,"GU Catheter Size","GI/GU","711943"
224024,"Family Communication","Restraint/Support Systems","695892"
223905,"Cough Reflex","Neurological","692815"
223904,"Gag Reflex","Neurological","684374"
220339,"PEEP set","Respiratory","679809"
223951,"Capillary Refill R","Cardiovascular (Pulses)","676606"
224308,"Capillary Refill L","Cardiovascular (Pulses)","663018"
220047,"Heart Rate Alarm - Low","Alarms","656837"
220046,"Heart rate Alarm - High","Alarms","656565"
227342,"Secondary diagnosis","Restraint/Support Systems","654848"
227341,"History of falling (within 3 mnths)","Restraint/Support Systems","654464"
223770,"O2 Saturation Pulseoxymetry Alarm - Low","Alarms","652089"
227343,"Ambulatory aid","Restraint/Support Systems","651827"
227345,"Gait/Transferring","Restraint/Support Systems","651596"
227344,"IV/Saline lock","Restraint/Support Systems","651541"
227346,"Mental status","Restraint/Support Systems","649691"
224685,"Tidal Volume (observed)","Respiratory","649502"
223769,"O2 Saturation Pulseoxymetry Alarm - High","Alarms","648818"
224687,"Minute Volume","Respiratory","643181"
224161,"Resp Alarm - High","Alarms","642687"
224162,"Resp Alarm - Low","Alarms","642433"
227949,"Face to Face Eval (Non-violent)","Restraint/Support Systems","639412"
224697,"Mean Airway Pressure","Respiratory","636238"
224689,"Respiratory Rate (spontaneous)","Respiratory","629555"
226253,"SpO2 Desat Limit","Alarms","628971"
224695,"Peak Insp. Pressure","Respiratory","619822"
220292,"Minute Volume Alarm - Low","Alarms","614856"
220293,"Minute Volume Alarm - High","Alarms","612395"
223834,"O2 Flow","Respiratory","611846"
223876,"Apnea Interval","Respiratory","611160"
223873,"Paw High","Respiratory","610913"
224076,"Education Barrier","Restraint/Support Systems","610422"
223848,"Ventilator Type","Respiratory","606003"
223874,"Vti High","Respiratory","594828"
224409,"Pain Level Response","Pain/Sedation","592646"
227517,"Humidification","Respiratory","590790"
224690,"Respiratory Rate (Total)","Respiratory","583780"
227968,"All Medications Tolerated without Adverse Side Effects","GI/GU","582412"
228914,"Altered Skin Integrity NCP - Interventions","Care Plans","575890"
224692,"Flow Pattern","Respiratory","569620"
224865,"Flow Sensitivity","Respiratory","569456"
223875,"Fspn High","Respiratory","567522"
223796,"Untoward Effect","Pain/Sedation","567400"
229322,"Breathing pattern/effort","Pulmonary","563002"
228957,"Coping/Knowledge Deficit  NCP - Interventions","Care Plans","560828"
225978,"Slope","Respiratory","560283"
224085,"Assistance Device","Treatments","546959"
227368,"20 Gauge Dressing Occlusive","Access Lines - Peripheral","544587"
226138,"20 Gauge placed in outside facility","Access Lines - Peripheral","542442"
223936,"Radial Pulse R","Cardiovascular (Pulses)","541030"
228399,"Facial Droop","Neurological","539559"
224735,"Flow Rate (variable/fixed)","Respiratory","539527"
224077,"Education Method","Restraint/Support Systems","531515"
223948,"Radial Pulse L","Cardiovascular (Pulses)","531343"
226104,"Level of Consciousness","Neurological","513797"
224862,"Edema Amount","Skin - Incisions","511634"
224785,"GI #1 Tube Type","GI/GU","511493"
223898,"Orientation","Neurological","511427"
224072,"Education Learner","Restraint/Support Systems","509582"
224007,"GI #1 Intub Site","GI/GU","503195"
223752,"Non-Invasive Blood Pressure Alarm - Low","Alarms","499997"
223751,"Non-Invasive Blood Pressure Alarm - High","Alarms","499771"
224079,"Education Response","Restraint/Support Systems","498173"
224415,"ETT Mark (cm)","Respiratory","493534"
223838,"ETT Location","Respiratory","493228"
223837,"ETT Size (ID)","Respiratory","491756"
224832,"ETT Type","Respiratory","491304"
227240,"NBP Alarm Source","Alarms","490219"
223902,"Speech","Neurological","489682"
224786,"GI #1 Tube Status","GI/GU","486705"
