"itemid","label","category","numero_eventi"
228363,"Pulmocare (Full)","Nutrition - Enteral","2473"
227535,"Vitamin K (Phytonadione)","Medications","2434"
225930,"Peptamen 1.5 (Full)","Nutrition - Enteral","2309"
229640,"Calcium Gluconate (Bolus)","Medications","2295"
226369,"OR Platelet Intake","Blood Products/Colloids","2283"
225969,"Lipids (additive)","Nutrition - Parenteral","2175"
227531,"Mannitol","Medications","2158"
226365,"OR Colloid Intake","Blood Products/Colloids","2145"
225934,"Vivonex (Full)","Nutrition - Enteral","2139"
229071,"Neostigmine (Prostigmin)","Medications","2106"
226375,"PACU Crystalloid Intake","Fluids/Intake","2090"
227520,"Methadone Hydrochloride","Medications","1942"
225890,"Penicillin G potassium","Antibiotics","1881"
221036,"Nutren Renal (Full)","Nutrition - Enteral","1850"
225905,"Voriconazole","Antibiotics","1817"
227530,"IV Immune Globulin (IVIG)","Blood Products/Colloids","1811"
225902,"Tobramycin","Antibiotics","1750"
225973,"Meperidine (Demerol)","Medications","1685"
225830,"Multivitamins","Fluids/Intake","1677"
229639,"Bumetanide (Bumex)","Medications","1643"
225876,"Imipenem/Cilastatin","Antibiotics","1552"
225945,"Lidocaine","Medications","1552"
228359,"Glucerna (Full)","Nutrition - Enteral","1492"
225865,"Doxycycline","Antibiotics","1382"
229597,"Heparin Sodium (Impella)","Medications","1353"
225148,"Bivalirudin (Angiomax)","Medications","1324"
225912,"Carafate (Sucralfate)","Medications","1289"
225151,"Eptifibatide (Integrilin)","Medications","1217"
229069,"Digoxin (Lanoxin)","Medications","1173"
229618,"Calcium Chloride","Medications","1043"
229057,"Acetylcysteine","Medications","1031"
229583,"Beneprotein.","Nutrition - Supplements","974"
225866,"Erythromycin","Antibiotics","971"
229299,"Insulin - Novolog","Medications","947"
225838,"Ambisome","Antibiotics","830"
225156,"Pentobarbital","Medications","826"
223257,"Insulin - 70/30","Medications","799"
222062,"Vecuronium","Medications","775"
225937,"Ensure (Full)","Nutrition - Enteral","760"
221319,"Alteplase (TPA)","Medications","737"
222021,"Naloxone (Narcan)","Medications","701"
227528,"ACD-A Citrate (500ml)","Medications","683"
225873,"Gancyclovir","Antibiotics","662"
229574,"Fiber Supplement (i.e. Banana Flakes)","Nutrition - Supplements","634"
226371,"OR Cryoprecipitate Intake","Blood Products/Colloids","604"
228140,"Dextrose 20%","Fluids/Intake","601"
225928,"Impact with Fiber (Full)","Nutrition - Enteral","592"
