"itemid","label","category","numero_eventi"
225475,"Respiratory Arrest","3-Significant Events","100"
225967,"Rectal Swab","6-Cultures","97"
225819,"Brain Death","3-Significant Events","90"
229585,"Surgical Procedure at Bedside","4-Procedures","74"
226474,"ICP Bolt Inserted","4-Procedures","70"
225474,"Fall","3-Significant Events","67"
229524,"Lumbar Drain","Access Lines - Invasive","67"
225467,"Chest Opened","3-Significant Events","66"
221219,"Venogram","5-Imaging","65"
225477,"Unplanned Extubation (non-patient initiated)","1-Intubation/Extubation","59"
225199,"Triple Introducer","Access Lines - Invasive","56"
228201,"Tandem Heart Inflow Line","Access Lines - Invasive","55"
225460,"Cervical Spine","5-Imaging","54"
227714,"Pericardial Drain Removed","4-Procedures","53"
228202,"Tandem Heart Outflow Line","Access Lines - Invasive","53"
229523,"Subdural Drain","Access Lines - Invasive","51"
229529,"ECMO Inflow Line","Access Lines - Invasive","50"
229586,"VAC Change","4-Procedures","48"
225476,"Unplanned Line/Catheter Removal (Non-Patient initated)","3-Significant Events","45"
229530,"ECMO Outflow Line","Access Lines - Invasive","45"
225442,"Liver Biopsy","4-Procedures","41"
225429,"Blakemore / MinnesotaTube Inserted","4-Procedures","40"
225449,"Pericardiocentesis","4-Procedures","39"
225461,"Pelvis","5-Imaging","38"
229514,"EKOS","Access Lines - Invasive","30"
229584,"EMG","4-Procedures","29"
225472,"Pneumothorax","3-Significant Events","27"
226237,"Open Tracheostomy","1-Intubation/Extubation","25"
228228,"Family meeting attempted, unable","7-Communication","24"
229620,"Massive Transfusion","3-Significant Events","24"
229520,"EVD #2","Access Lines - Invasive","18"
229521,"ICP - PbtO2","Access Lines - Invasive","17"
225463,"TLS Spine","5-Imaging","16"
225428,"Blakemore / Minnesota Tube D/C","4-Procedures","12"
229576,"ERCP (Done in unit)","4-Procedures","10"
229517,"Multi Lumen Cooling Catheter","Access Lines - Invasive","10"
229527,"Centrimag Inflow Line","Access Lines - Invasive","9"
229528,"Centrimag Outflow Line","Access Lines - Invasive","9"
229518,"ICP - Camino","Access Lines - Invasive","7"
229515,"Avalon/Protek Duo","Access Lines - Invasive","5"
229522,"SEPS (Subdural Evacuating Port System)","Access Lines - Invasive","3"
